Estratégia,Retorno Total,Retorno Anual,Índice Sharpe,Drawdown Máximo,Operações,Taxa de Acerto
MACD,45.15%,45.30%,1.77,-21.17%,45,677.78%
Dual MACD,45.15%,45.30%,1.77,-21.17%,45,677.78%
MA Crossover (50/200),24.80%,24.88%,0.96,-28.67%,3,8433.33%
RSI Divergence,20.90%,20.96%,1.42,-16.76%,3,7566.67%
Bollinger Bands,0.91%,0.92%,0.05,-27.79%,14,2278.57%
RSI (14),0.30%,0.30%,0.02,-26.25%,12,2416.67%
Trend Following,0.00%,0.00%,0.00,0.00%,0,0.00%
Volatility Breakout,0.00%,0.00%,0.00,0.00%,0,0.00%
