Estratégia,Retorno Total,Retorno Anual,Índice Sharpe,Drawdown Máximo,Operações,Taxa de Acerto
Ichimoku Conservador,22.78%,53.43%,5.16,-6.22%,2,4850.00%
Ichimoku Padrão,5.07%,10.87%,0.53,-17.68%,10,3010.00%
Ichimoku Rápido,-24.68%,-44.64%,-2.37,-33.90%,59,447.46%
