Estratégia,Retorno Total,Retorno Anual,Índice Sharpe,Drawdown Máximo,Operações,Taxa de Acerto
Padrões de Reversão,69.44%,196.67%,7.84,-13.94%,11,3863.64%
Candlestick Básica,38.73%,96.43%,4.15,-23.63%,59,530.51%
Filtro de Tendência,24.08%,56.03%,2.77,-22.11%,12,2550.00%
Padrões Fortes,6.20%,13.21%,0.48,-30.64%,1,51300.00%
